"Day","Cash On Hand"
11,2200543
12,2793184
13,2101568
14,2628682
15,1953205
16,1948065
17,2578031
18,4540015
19,5890485
20,7852842
21,8759239
22,9917757
23,10230883
24,10866097
25,11624395
26,12914602
27,13673019
28,14979422
29,16414088
30,16914166
31,18357199
32,18983078
33,27133104
34,30146037
35,35334024
36,36015395
37,38040328
38,39584625
39,41062854
40,42639583
41,44662912
42,47037500
43,48330788
44,56853975
45,66172128
46,68232781
47,70987851
48,72955901
49,75287915
50,76704929
51,78973890
52,86296521
53,93527411
54,98441548
55,99945839
56,101579567
57,104700375
58,106866887
59,108396407
60,109369516
61,110112061
62,112788500
63,115861181
64,118975054
65,130134978
66,132391057
67,134697829
68,137232584
69,140345613
70,152850666
71,165360016
72,178078359
73,181212816
74,185126455
75,188765471
76,191828265
77,194358269
78,197518946
79,201466614
80,203188165
81,204544247
82,205487016
83,205752598
84,216570161
85,228058490
86,229700338
87,229907528
88,229771057
89,230500608
90,231785693
